Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
264.7759058,X1-1,X2-2,X3-2,X4-1,X5-8,0.145810862,138,102,50,11.1,11.1,0.63,44,120,59,0.6
260.8944545,X1-1,X2-2,X3-2,X4-1,X5-8,0.416001441,138,102,50,11.1,11.1,0.63,44,120,59,0.6
735.4315951,X1-1,X2-2,X3-1,X4-1,X5-13,0.028014688,47,52,125,2,3,0.55,20,1728,20,0.8
723.9856177,X1-1,X2-2,X3-1,X4-1,X5-13,0.03899493,53,59,125,2,3,0.55,20,1728,20,0.8
702.6549429,X1-1,X2-2,X3-1,X4-1,X5-13,0.053011689,53,59,125,2,3,0.55,20,1728,20,0.8
723.0902105,X1-1,X2-2,X3-1,X4-1,X5-13,0.054121399,47,52,125,2,3,0.55,20,1728,20,0.8
732.7691478,X1-1,X2-2,X3-1,X4-1,X5-13,0.054217388,47,52,125,2,3,0.55,20,1728,20,0.8
706.5643322,X1-1,X2-2,X3-1,X4-1,X5-13,0.054259745,47,52,125,2,3,0.55,20,1728,20,0.8
736.7247521,X1-1,X2-2,X3-1,X4-1,X5-13,0.054299315,47,52,125,2,3,0.55,20,1728,20,0.8
739.097961,X1-1,X2-2,X3-1,X4-1,X5-13,0.054357628,47,52,125,2,3,0.55,20,1728,20,0.8
727.175699,X1-1,X2-2,X3-1,X4-1,X5-13,0.054443529,47,52,125,2,3,0.55,20,1728,20,0.8
736.9687193,X1-1,X2-2,X3-1,X4-1,X5-13,0.054444094,47,52,125,2,3,0.55,20,1728,20,0.8
690.56571,X1-1,X2-2,X3-1,X4-1,X5-13,0.054508313,47,52,125,2,3,0.55,20,1728,20,0.8
739.8548708,X1-1,X2-2,X3-1,X4-1,X5-13,0.054515358,47,52,125,2,3,0.55,20,1728,20,0.8
724.0490669,X1-1,X2-2,X3-1,X4-1,X5-13,0.054516812,47,52,125,2,3,0.55,20,1728,20,0.8
736.423271,X1-1,X2-2,X3-1,X4-1,X5-13,0.054526773,47,52,125,2,3,0.55,20,1728,20,0.8
737.5103383,X1-1,X2-2,X3-1,X4-1,X5-13,0.054560967,47,52,125,2,3,0.55,20,1728,20,0.8
734.0425267,X1-1,X2-2,X3-1,X4-1,X5-13,0.054569525,47,52,125,2,3,0.55,20,1728,20,0.8
734.2163988,X1-1,X2-2,X3-1,X4-1,X5-13,0.054570444,47,52,125,2,3,0.55,20,1728,20,0.8
736.0490173,X1-1,X2-2,X3-1,X4-1,X5-13,0.054618811,47,52,125,2,3,0.55,20,1728,20,0.8
736.1453637,X1-1,X2-2,X3-1,X4-1,X5-13,0.054644549,47,52,125,2,3,0.55,20,1728,20,0.8
736.1149025,X1-1,X2-2,X3-1,X4-1,X5-13,0.054651513,47,52,125,2,3,0.55,20,1728,20,0.8
740.8940145,X1-1,X2-2,X3-1,X4-1,X5-13,0.054699872,47,52,125,2,3,0.55,20,1728,20,0.8
731.5427835,X1-1,X2-2,X3-1,X4-1,X5-13,0.054728345,47,52,125,2,3,0.55,20,1728,20,0.8
739.9588982,X1-1,X2-2,X3-1,X4-1,X5-13,0.054743166,47,52,125,2,3,0.55,20,1728,20,0.8
734.0703191,X1-1,X2-2,X3-1,X4-1,X5-13,0.05475924,47,52,125,2,3,0.55,20,1728,20,0.8
569.1484398,X1-1,X2-2,X3-1,X4-1,X5-13,0.054761203,47,52,125,2,3,0.55,20,1728,20,0.8
730.063968,X1-1,X2-2,X3-1,X4-1,X5-13,0.054789913,47,52,125,2,3,0.55,20,1728,20,0.8
733.5403601,X1-1,X2-2,X3-1,X4-1,X5-13,0.054857096,47,52,125,2,3,0.55,20,1728,20,0.8
733.7925083,X1-1,X2-2,X3-1,X4-1,X5-13,0.054899245,47,52,125,2,3,0.55,20,1728,20,0.8
738.1780727,X1-1,X2-2,X3-1,X4-1,X5-13,0.055043626,47,52,125,2,3,0.55,20,1728,20,0.8
740.9778537,X1-1,X2-2,X3-1,X4-1,X5-13,0.05506895,47,52,125,2,3,0.55,20,1728,20,0.8
736.5854647,X1-1,X2-2,X3-1,X4-1,X5-13,0.055116873,47,52,125,2,3,0.55,20,1728,20,0.8
723.0661687,X1-1,X2-2,X3-1,X4-1,X5-13,0.055228258,47,52,125,2,3,0.55,20,1728,20,0.8
735.7384952,X1-1,X2-2,X3-1,X4-1,X5-13,0.055446195,47,52,125,2,3,0.55,20,1728,20,0.8
732.1101348,X1-1,X2-2,X3-1,X4-1,X5-13,0.055544754,53,59,125,2,3,0.55,20,1728,20,0.8
736.4427816,X1-1,X2-2,X3-1,X4-1,X5-13,0.055553602,47,52,125,2,3,0.55,20,1728,20,0.8
707.5842534,X1-1,X2-2,X3-1,X4-1,X5-13,0.055598008,47,52,125,2,3,0.55,20,1728,20,0.8
716.8947869,X1-1,X2-2,X3-1,X4-1,X5-13,0.055679115,47,52,125,2,3,0.55,20,1728,20,0.8
711.4464578,X1-1,X2-2,X3-1,X4-1,X5-13,0.056014469,47,52,125,2,3,0.55,20,1728,20,0.8
735.7649891,X1-1,X2-2,X3-1,X4-1,X5-13,0.056246975,47,52,125,2,3,0.55,20,1728,20,0.8
726.7767143,X1-1,X2-2,X3-1,X4-1,X5-13,0.056480732,47,52,125,2,3,0.55,20,1728,20,0.8
697.3423776,X1-1,X2-2,X3-1,X4-1,X5-13,0.056838983,53,59,125,2,3,0.55,20,1728,20,0.8
734.8205654,X1-1,X2-2,X3-1,X4-1,X5-13,0.058162076,47,52,125,2,3,0.55,20,1728,20,0.8
538.4903173,X1-1,X2-2,X3-1,X4-1,X5-13,0.058470549,46,42,125,2,3,0.55,20,1728,20,0.8
441.5283759,X1-1,X2-2,X3-1,X4-1,X5-13,0.058722221,53,59,125,2,3,0.55,20,1728,20,0.8
518.4120443,X1-1,X2-2,X3-1,X4-1,X5-13,0.058994777,46,42,125,2,3,0.55,20,1728,20,0.8
681.3231446,X1-1,X2-2,X3-1,X4-1,X5-13,0.059327528,46,42,125,2,3,0.55,20,1728,20,0.8
742.3658104,X1-1,X2-2,X3-1,X4-1,X5-13,0.059342962,53,59,125,2,3,0.55,20,1728,20,0.8
